Ticker,EPS Estimate,EPS Actual,GICS_SECTOR_NAME,,
AGCO UN Equity,2.0375,1.97,Industrials,,
AGL AT Equity,-0.07662,-0.605,Utilities,,
AGN NA Equity,0.17,0.22,Financials,,
AGN UN Equity,-2.55,38.18,Health Care,,
AGNC UW Equity,-0.74,1.79,Financials,,
AGS BB Equity,0.78,0.13,Financials,,
AGU CT Equity,4.474,4.29,Materials,,
AHT LN Equity,0.779422222,0.813,Industrials,,
AI FP Equity,4.575000099,4.645454545,Materials,,
AIA NZ Equity,0.186666667,0.2205,Industrials,,
AIBG ID Equity,0.49,0.486,Financials,,
AIG UN Equity,2.675,-0.78,Financials,,
AIR FP Equity,2.257272727,1.29,Industrials,,
AIZ UN Equity,11.68666667,9.23,Financials,,
AJG UN Equity,2.384,2.33,Financials,,
AKAM UW Equity,1.728235294,1.81,Information Technology,,
AKE FP Equity,5.124615385,5.68,Materials,,
AKZA NA Equity,3.867333333,3.87,Materials,,
ALA CT Equity,1.075,0.99,Energy,,
ALB UN Equity,4.43,5.73,Materials,,
ALFA SS Equity,5.63,5.46,Industrials,,
ALGN UW Equity,2.412,2.38,Health Care,,
ALKS UW Equity,-1.56375,-1.38,Health Care,,
ALL AT Equity,0.536542857,0.551,Consumer Discretionary,,
ALL UN Equity,4.005,4.72,Financials,,
ALLE UN Equity,2.448333333,2.39,Industrials,,
ALLY UN Equity,2.07,2.15,Financials,,
ALNY UW Equity,-4.71,-4.79,Health Care,,
ALO FP Equity,16.3225,10.17,Industrials,,
ALV GY Equity,14.84272727,15.14,Financials,,
ALV UN Equity,6.599444444,6.43,Consumer Discretionary,,
ALXN UW Equity,1.96,1.78,Health Care,,
AM FP Equity,44.03,44.954073,Industrials,,
AMAT UW Equity,1.618,1.56,Information Technology,,
AMC AT Equity,0.205,0.21,Materials,,
AMD UR Equity,-0.613076923,-0.6,Information Technology,,
AME UN Equity,2.304285714,2.2,Industrials,,
AMG UN Equity,8.295,8.73,Financials,,
AMGN UW Equity,10.125,10.32,Health Care,,
AMP AT Equity,-0.089057143,-0.117,Financials,,
AMP UN Equity,7.01,7.9,Financials,,
AMS SQ Equity,1.867368421,1.889795,Information Technology,,
AMTD UW Equity,1.611666667,1.59,Financials,,
AMUN FP Equity,3.180012503,3.3024268,Financials,,
AMZN UW Equity,4.782564103,5.01,Consumer Discretionary,,
AN UN Equity,3.988571429,4.18,Consumer Discretionary,,
ANDR AV Equity,2.77,2.69,Industrials,,
ANDV UN Equity,5.862857143,6.19,Energy,,
ANET UN Equity,2.315,2.66,Information Technology,,
ANSS UW Equity,2.993333333,3.05,Information Technology,,
ANTM UN Equity,9.22,9.39,Health Care,,
ANTO LN Equity,0.349230769,0.16,Materials,,
ANZ AT Equity,1.9986,1.974,Financials,,
AON UN Equity,5.584444444,5.21,Financials,,
AOS UN Equity,1.836428571,1.87,Industrials,,
APA AT Equity,0.179466667,0.161,Utilities,,
APA UN Equity,-3.207142857,-3.71,Energy,,
APC UN Equity,-5.396,-5.9,Energy,,
APD UN Equity,7.12,2.92,Materials,,
APH UN Equity,2.6125,2.67,Information Technology,,
APTV UN Equity,4.73,4.6,Consumer Discretionary,,
AR UN Equity,-0.416111111,-2.88,Energy,,
